location,date,sentiment_category,cnt,sentiment_rating
United States,5/31/2020,neutral,10814,3
United States,5/31/2020,positive,14868,4
United States,5/31/2020,very negative,5115,1
United States,5/31/2020,very positive,410,5
United States,6/1/2020,negative,48599,2
United States,6/1/2020,neutral,11655,3
United States,6/1/2020,positive,17171,4
United States,6/1/2020,very negative,4709,1
United States,6/1/2020,very positive,401,5
United States,6/2/2020,negative,53554,2
United States,6/2/2020,neutral,13840,3
United States,6/2/2020,positive,21667,4
United States,6/2/2020,very negative,4825,1
United States,6/2/2020,very positive,515,5
United States,6/3/2020,negative,50724,2
United States,6/3/2020,neutral,13723,3
United States,6/3/2020,positive,21179,4
United States,6/3/2020,very negative,4514,1
United States,6/3/2020,very positive,448,5
United States,6/4/2020,negative,54503,2
United States,6/4/2020,neutral,15010,3
United States,6/4/2020,positive,24223,4
United States,6/4/2020,very negative,4399,1
United States,6/4/2020,very positive,573,5
United States,6/5/2020,negative,51947,2
United States,6/5/2020,neutral,15034,3
United States,6/5/2020,positive,23552,4
United States,6/5/2020,very negative,4051,1
United States,6/5/2020,very positive,599,5
United States,6/6/2020,negative,41797,2
United States,6/6/2020,neutral,11767,3
United States,6/6/2020,positive,18328,4
United States,6/6/2020,very negative,3104,1
United States,6/6/2020,very positive,559,5
United States,6/7/2020,negative,38267,2
United States,6/7/2020,neutral,10256,3
United States,6/7/2020,positive,14408,4
United States,6/7/2020,very negative,3213,1
United States,6/7/2020,very positive,427,5
United States,6/8/2020,negative,24985,2
United States,6/8/2020,neutral,6674,3
United States,6/8/2020,positive,10249,4
United States,6/8/2020,very negative,1980,1
United States,6/8/2020,very positive,291,5
United States,6/9/2020,negative,38278,2
United States,6/9/2020,neutral,12281,3
United States,6/9/2020,positive,19743,4
United States,6/9/2020,very negative,2599,1
United States,6/9/2020,very positive,504,5
United States,6/10/2020,negative,47365,2
United States,6/10/2020,neutral,15302,3
United States,6/10/2020,positive,25129,4
United States,6/10/2020,very negative,3276,1
United States,6/10/2020,very positive,650,5
United States,6/11/2020,negative,48211,2
United States,6/11/2020,neutral,15974,3
United States,6/11/2020,positive,25936,4
United States,6/11/2020,very negative,3328,1
United States,6/11/2020,very positive,727,5
United States,6/12/2020,negative,51446,2
United States,6/12/2020,neutral,16155,3
United States,6/12/2020,positive,26782,4
United States,6/12/2020,very negative,3542,1
United States,6/12/2020,very positive,715,5
United States,6/13/2020,negative,44231,2
United States,6/13/2020,neutral,13595,3
United States,6/13/2020,positive,21757,4
United States,6/13/2020,very negative,3168,1
United States,6/13/2020,very positive,606,5
United States,6/14/2020,negative,33231,2
United States,6/14/2020,neutral,9247,3
United States,6/14/2020,positive,14041,4
United States,6/14/2020,very negative,2580,1
United States,6/14/2020,very positive,410,5
United States,6/15/2020,negative,41145,2
United States,6/15/2020,neutral,11884,3
United States,6/15/2020,positive,18433,4
United States,6/15/2020,very negative,3308,1
United States,6/15/2020,very positive,472,5
United States,6/16/2020,negative,60453,2
United States,6/16/2020,neutral,18403,3
United States,6/16/2020,positive,28293,4
United States,6/16/2020,very negative,4161,1
United States,6/16/2020,very positive,661,5
United States,6/17/2020,negative,58468,2
United States,6/17/2020,neutral,18034,3
United States,6/17/2020,positive,29386,4
United States,6/17/2020,very negative,4311,1
United States,6/17/2020,very positive,744,5
United States,6/18/2020,negative,56220,2
United States,6/18/2020,neutral,17546,3
United States,6/18/2020,positive,28331,4
United States,6/18/2020,very negative,4021,1
United States,6/18/2020,very positive,734,5
United States,6/19/2020,negative,55400,2
United States,6/19/2020,neutral,17545,3
United States,6/19/2020,positive,28315,4
United States,6/19/2020,very negative,3977,1
United States,6/19/2020,very positive,783,5
United States,6/20/2020,negative,55106,2
United States,6/20/2020,neutral,16449,3
United States,6/20/2020,positive,24585,4
United States,6/20/2020,very negative,4324,1
United States,6/20/2020,very positive,694,5
United States,6/21/2020,negative,57566,2
United States,6/21/2020,neutral,15893,3
United States,6/21/2020,positive,22723,4
United States,6/21/2020,very negative,4497,1
United States,6/21/2020,very positive,571,5
United States,6/22/2020,negative,43619,2
United States,6/22/2020,neutral,12305,3
United States,6/22/2020,positive,18750,4
United States,6/22/2020,very negative,3238,1
United States,6/22/2020,very positive,487,5
United States,6/23/2020,negative,64767,2
United States,6/23/2020,neutral,19238,3
United States,6/23/2020,positive,30125,4
United States,6/23/2020,very negative,4780,1
United States,6/23/2020,very positive,647,5
United States,6/24/2020,negative,68591,2
United States,6/24/2020,neutral,20764,3
United States,6/24/2020,positive,31456,4
United States,6/24/2020,very negative,5363,1
United States,6/24/2020,very positive,869,5
United States,6/25/2020,negative,75474,2
United States,6/25/2020,neutral,21992,3
United States,6/25/2020,positive,33488,4
United States,6/25/2020,very negative,6113,1
United States,6/25/2020,very positive,787,5
United States,6/26/2020,negative,80303,2
United States,6/26/2020,neutral,22254,3
United States,6/26/2020,positive,32358,4
